"country","date","name","actual","consensus","previous","volatility"
"Portugal","20160610 00:00:00","Portugal Day","","","","0"
"China","20160610 02:00:00","FDI - Foreign Direct Investment (YTD) (YoY)","","","","2"
"Japan","20160610 04:30:00","Tertiary Industry Index (MoM)","","","","2"
"Germany","20160610 06:00:00","Wholesale Price Index (YoY)","","","","2"
"Germany","20160610 06:00:00","Wholesale Price Index (MoM)","","","","2"
"Germany","20160610 06:00:00","Consumer Price Index (YoY)","","","","2"
"Germany","20160610 06:00:00","Consumer Price Index (MoM)","","","","2"
"Germany","20160610 06:00:00","Harmonised Index of Consumer Prices (YoY)","","","","2"
"Germany","20160610 06:00:00","Harmonised Index of Consumer Prices (MoM)","","","","2"
"France","20160610 06:45:00","Industrial Output (MoM)","","","","1"
"Germany","20160610 07:00:00","German Buba President Weidmann speech","","","","2"
"Italy","20160610 08:00:00","Industrial Output s.a. (MoM)","","","","1"
"Italy","20160610 08:00:00","Industrial Output w.d.a (YoY)","","","","1"
"Spain","20160610 09:00:00","House Price Index (QoQ)","","","","1"
"India","20160610 11:30:00","Trade Deficit - RBI","","","","1"
"India","20160610 11:30:00","Bank Loan Growth","","","","1"
"India","20160610 11:30:00","Current Account Balance $","","","","1"
" USD"","20160610 11:30:00",""FX Reserves","","","","India"
"India","20160610 12:00:00","Manufacturing Output","","","","1"
"India","20160610 12:00:00","Industrial Output","","","","1"
"India","20160610 12:00:00","Cumulative Industrial Output","","","","1"
"Canada","20160610 12:30:00","Net Change in Employment","","","","2"
"Canada","20160610 12:30:00","Participation rate","","","","2"
"Canada","20160610 12:30:00","Unemployment Rate","","","","2"
"United States","20160610 14:00:00","Reuters/Michigan Consumer Sentiment Index","","","","1"
"United States","20160610 18:00:00","Monthly Budget Statement","","","","2"
