"country","date","name","actual","consensus","previous","volatility"
"China","20180226 01:30:00",""House Price Index "","","","","1"
"Japan","20180226 05:00:00","Coincident Index","","","","2"
"Japan","20180226 05:00:00","Leading Economic Index","","","","2"
"United Kingdom","20180226 07:00:00","Nationwide Housing Prices s.a (MoM)","","","","1"
"United Kingdom","20180226 07:00:00","Nationwide Housing Prices n.s.a (YoY)","","","","1"
"Switzerland","20180226 08:15:00","Employment Level (QoQ)","","","","1"
"United Kingdom","20180226 09:30:00","BBA Mortgage Approvals","","","","1"
"United Kingdom","20180226 10:00:00","10-y Bond Auction","","","","1"
"Brazil","20180226 12:30:00","Current Account","","","","1"
"United States","20180226 13:00:00","Fed's Bullard speech","","","","2"
"United States","20180226 13:30:00",""Chicago Fed National Activity Index "","","","","2"
" $"","20180226 14:00:00",""Trade Balance s/a","","","","Mexico"
" $"","20180226 14:00:00",""Trade Balance","","","","Mexico"
"Mexico","20180226 14:00:00","Retail Sales (MoM)","","","","1"
"Mexico","20180226 14:00:00","Retail Sales (YoY)","","","","1"
"United States","20180226 15:00:00","New Home Sales (MoM)","","","","2"
"United States","20180226 15:00:00","New Home Sales Change (MoM)","","","","2"
"United States","20180226 15:30:00","Dallas Fed Manufacturing Business Index","","","","2"
"United States","20180226 16:30:00","3-Month Bill Auction","","","","1"
"United States","20180226 16:30:00","6-Month Bill Auction","","","","1"
"United Kingdom","20180226 18:00:00","MPC Member Cunliffe Speech","","","","2"
"New Zealand","20180226 21:45:00","Trade Balance (MoM)","","","","2"
"New Zealand","20180226 21:45:00","Imports","","","","2"
"New Zealand","20180226 21:45:00","Trade Balance (YoY)","","","","2"
"New Zealand","20180226 21:45:00","Exports","","","","2"
