"country","date","name","actual","consensus","previous","volatility"
"Germany","20130102 08:53:00","Markit Manufacturing PMI",""," 46.300 "," 46.800 ","2"
"European Monetary Union","20130102 08:58:00","Markit Manufacturing PMI",""," 46.300 "," 46.200 ","2"
"United Kingdom","20130102 09:28:00","Markit Manufacturing PMI",""," 49.100 "," 49.100 ","2"
"Brazil","20130102 12:00:00","Purchasing Managers Index Manufacturing - Banco","","","","1"
"Czech Republic","20130102 13:00:00","Budget Balance","",""," -77.870 ","1"
"Germany","20130102 13:00:00","Consumer Price Index (YoY)","","1.900  %","1.900  %","3"
"Germany","20130102 13:00:00","Consumer Price Index (MoM)","","0.700  %","-0.200  %","2"
"Germany","20130102 13:00:00","Harmonised Index of Consumer Prices (MoM)","","0.800  %","-0.200  %","2"
"Germany","20130102 13:00:00","Harmonised Index of Consumer Prices (YoY)","","2.000  %","1.900  %","3"
"United States","20130102 13:55:00","Redbook index (MoM)","","","0.000  %","1"
"United States","20130102 13:55:00","Redbook index (YoY)","","","2.900  %","1"
"United States","20130102 13:58:00","Markit Manufacturing PMI",""," 53.200 "," 52.800 ","1"
"United States","20130102 15:00:00","Construction Spending (MoM)","","0.600  %","1.400  %","2"
"United States","20130102 15:00:00","ISM Manufacturing PMI",""," 50.200 "," 49.500 ","3"
"United States","20130102 15:00:00","ISM Prices Paid",""," 52.000 "," 52.500 ","2"
"Brazil","20130102 17:00:00","Trade Balance","",""," -0.186 ","1"
"Argentina","20130102 20:00:00","Primary Budget Balance (MoM)","",""," 660.000 ","1"
"Argentina","20130102 21:00:00","Tax Revenue (MoM)","",""," 60.670 ","1"
"country","date","name","actual","consensus","previous","volatility"
"China","20130103 01:00:00","Non-manufacturing PMI","",""," 55.600 ","2"
"United Kingdom","20130103 07:00:00","Nationwide Housing Prices n.s.a (YoY)","","-0.900  %","-1.200  %","2"
"Switzerland","20130103 08:00:00","KOF Leading Indicator",""," 1.350 "," 1.500 ","2"
"Switzerland","20130103 08:30:00","SVME - Purchasing Managers' Index",""," 48.500 "," 48.500 ","2"
"Germany","20130103 08:55:00","Unemployment Change",""," 10.000 "," 5.000 ","2"
"Germany","20130103 08:55:00","Unemployment Rate s.a.","","6.900  %","6.900  %","2"
"United Kingdom","20130103 09:30:00","PMI Construction",""," 49.500 "," 49.300 ","2"
"Ireland","20130103 12:00:00","Consumer Confidence","",""," 63.800 ","1"
"United States","20130103 12:00:00","MBA Mortgage Applications","","","-12.300  %","1"
"United States","20130103 12:30:00","Challenger Job Cuts (YoY)","",""," 57.100 ","1"
"Czech Republic","20130103 13:00:00","Budget Balance","",""," -77.870 ","1"
"United States","20130103 13:15:00","ADP Employment Change",""," 133.000 "," 118.000 ","2"
"United States","20130103 13:30:00","Initial Jobless Claims",""," 355.000 "," 350.000 ","2"
"United States","20130103 13:30:00","Continuing Jobless Claims","",""," 3.206 ","1"
"Singapore","20130103 13:30:00","Purchasing Managers Index","",""," 48.800 ","1"
"United States","20130103 14:45:00","ISM New York index","",""," 52.500 ","1"
"Denmark","20130103 15:00:00","Currency Reserves","",""," 512.100 ","1"
"United States","20130103 19:00:00","FOMC Minutes","","","","3"
"United States","20130103 22:00:00","Total Vehicle Sales",""," 15.100 "," 15.470 ","1"
"Australia","20130103 22:30:00","AiG Performance of Services Index","",""," 47.100 ","2"
"Japan","20130103 23:50:00","Foreign bond investment","","","¥ 428.200 ","1"
"Japan","20130103 23:50:00","Foreign investment in Japan stocks","","","¥ 764.900 ","1"
"country","date","name","actual","consensus","previous","volatility"
"China","20130104 01:45:00","HSBC China Services PMI","",""," 52.100 ","2"
"Germany","20130104 07:00:00","Retail Sales (MoM)","","0.800  %","-2.800  %","2"
"Germany","20130104 07:00:00","Retail Sales (YoY)","","-1.200  %","-0.800  %","2"
"Germany","20130104 08:53:00","Markit Services PMI",""," 52.100 "," 49.700 ","2"
"European Monetary Union","20130104 08:58:00","Markit Services PMI",""," 47.800 "," 46.700 ","2"
"European Monetary Union","20130104 08:58:00","Markit PMI Composite",""," 47.300 "," 46.500 ","2"
"United Kingdom","20130104 09:28:00","Markit Services PMI",""," 50.500 "," 50.200 ","2"
"United Kingdom","20130104 09:30:00","Consumer Credit","","£ -0.100 ","£ -0.500 ","2"
"United Kingdom","20130104 09:30:00","Mortgage Approvals",""," 53.800 "," 53.000 ","2"
"United Kingdom","20130104 09:30:00","Net Lending to Individuals (MoM)","","£ 0.400 ","£ -0.300 ","2"
"European Monetary Union","20130104 10:00:00","Consumer Price Index (YoY)","","2.100  %","2.200  %","2"
"Ireland","20130104 12:00:00","Consumer Confidence","",""," 63.800 ","1"
"United States","20130104 13:30:00","Average Hourly Earnings (MoM)","","0.200  %","0.200  %","2"
"United States","20130104 13:30:00","Average Weekly Hours",""," 34.400 "," 34.400 ","1"
"United States","20130104 13:30:00","Average Hourly Earnings (YoY)","","1.700  %","1.700  %","2"
"Canada","20130104 13:30:00","Industrial Product Price (MoM)","","-0.200  %","-0.100  %","1"
"Canada","20130104 13:30:00","Raw Material Price Index","","-1.000  %","0.000  %","1"
"United States","20130104 13:30:00","Nonfarm Payrolls",""," 150.000 "," 146.000 ","3"
"Canada","20130104 13:30:00","Unemployment Rate","","7.300  %","7.200  %","3"
"United States","20130104 13:30:00","Unemployment Rate","","7.700  %","7.700  %","3"
"Canada","20130104 13:30:00","Net Change in Employment",""," 5.000 "," 59.300 ","3"
"Canada","20130104 13:30:00","Participation rate","","66.800  %","66.800  %","1"
"United States","20130104 15:00:00","Factory Orders (MoM)","","0.400  %","0.800  %","2"
"United States","20130104 15:00:00","ISM Non-Manufacturing PMI",""," 54.200 "," 54.700 ","2"
"United States","20130104 15:30:00","EIA Natural Gas Storage change",""," -129.000 "," -72.000 ","1"
"United States","20130104 16:00:00","EIA Crude Oil Stocks change",""," -0.700 "," -0.600 ","1"
"United States","20130104 18:15:00","Philadelphia Fed's Plosser speech","","","","1"
"United States","20130104 18:30:00","Fed's Lacker speech","","","","1"
"United States","20130104 20:30:00","FOMC Member Yellen Speech","","","","2"
"United States","20130104 22:30:00","Fed's Bullard speech","","","","1"
"country","date","name","actual","consensus","previous","volatility"
"country","date","name","actual","consensus","previous","volatility"
"Japan","20130106 23:50:00","Monetary Base (YoY)","","5.300  %","5.000  %","1"
"country","date","name","actual","consensus","previous","volatility"
"European Monetary Union","20130107 09:30:00","Sentix Investor Confidence",""," -15.000 "," -16.800 ","2"
"European Monetary Union","20130107 10:00:00","Producer Price Index (YoY)","","2.400  %","2.600  %","2"
"European Monetary Union","20130107 10:00:00","Producer Price Index (MoM)","","0.000  %","0.100  %","2"
"Ireland","20130107 12:00:00","Consumer Confidence","",""," 63.800 ","1"
"Poland","20130107 13:00:00","Central Bank FX Reserves","","","€ 82.710 ","1"
"Chile","20130107 13:30:00","IMACEC","","","6.700  %","1"
"Chile","20130107 13:30:00","Trade Balance","","","","1"
"Canada","20130107 15:00:00","Ivey Purchasing Managers Index","",""," 46.400 ","1"
"Canada","20130107 15:00:00","Ivey Purchasing Managers Index s.a",""," 50.000 "," 47.500 ","2"
"Australia","20130107 22:30:00","AiG Performance of Construction Index","",""," 37.000 ","2"
"Austria","20130107 23:00:00","Trade Balance","","","€ -138.600 ","1"
"country","date","name","actual","consensus","previous","volatility"
"Australia","20130108 00:30:00","Trade Balance",""," -2,300.000 "," -2,088.000 ","2"
"Switzerland","20130108 06:45:00","Unemployment Rate n.s.a (MoM)","","","3.100  %","2"
"Germany","20130108 07:00:00","Trade Balance s.a.","","€ 15.000 ","€ 15.200 ","2"
"European Monetary Union","20130108 10:00:00","Consumer Confidence","",""," -26.900 ","2"
"European Monetary Union","20130108 10:00:00","Retail Sales (YoY)","","-2.700  %","-3.600  %","2"
"European Monetary Union","20130108 10:00:00","Retail Sales (MoM)","","0.300  %","-1.200  %","2"
"European Monetary Union","20130108 10:00:00","Unemployment Rate","","11.800  %","11.700  %","2"
"Germany","20130108 11:00:00","Factory Orders n.s.a. (YoY)","","","-2.400  %","2"
"United States","20130108 12:30:00","NFIB Business Optimism Index","",""," 87.500 ","1"
"Chile","20130108 13:00:00","Consumer Price Index (Inflation) (MoM)","","","","1"
"Chile","20130108 13:00:00","Core Consumer Price Index (Inflation) (MoM)","","","","1"
"United States","20130108 13:55:00","Redbook index (YoY)","","","2.900  %","1"
"United States","20130108 13:55:00","Redbook index (MoM)","","","0.100  %","1"
"Mexico","20130108 15:00:00","Consumer Confidence","",""," 94.200 ","1"
"Mexico","20130108 15:00:00","Consumer Confidence s.a","",""," 97.000 ","1"
"United States","20130108 15:00:00","IBD/TIPP Economic Optimism (MoM)",""," 46.300 "," 45.100 ","1"
"Turkey","20130108 15:30:00","Treasury Cash Balance","",""," 13.470 ","1"
"United States","20130108 20:00:00","Consumer Credit Change","","$ 12.750 ","$ 14.200 ","2"
"New Zealand","20130108 21:45:00","Building Permits s.a. (MoM)","","","-1.500  %","1"
