"country","date","name","actual","consensus","previous","volatility"
"United States","20150907 00:00:00","Labor Day","","","","0"
"Canada","20150907 00:00:00","Labour Day","","","","0"
"Australia","20150907 01:30:00","ANZ Job Advertisements","","","","1"
"Japan","20150907 05:00:00","Leading Economic Index","","","","2"
"Japan","20150907 05:00:00","Coincident Index","","","","2"
"Germany","20150907 06:00:00","Industrial Production n.s.a. w.d.a. (YoY)","","","","2"
"Germany","20150907 06:00:00","Industrial Production s.a. (MoM)","","","","2"
"United Kingdom","20150907 07:00:00","Halifax House Prices (MoM)","","","","1"
"United Kingdom","20150907 07:00:00","Halifax House Prices (3m/YoY)","","","","1"
"Switzerland","20150907 07:00:00","Foreign Currency Reserves","","","","1"
"European Monetary Union","20150907 08:30:00","Sentix Investor Confidence","","","","1"
"India","20150907 09:30:00","Current Account Balance $","","","","1"
"India","20150907 09:30:00","Trade Deficit - RBI","","","","1"
"India","20150907 09:30:00","Balance Payment $","","","","1"
"New Zealand","20150907 22:45:00","Manufacturing sales","","","","1"
"United Kingdom","20150907 23:01:00","BRC Shop Price Index (MoM)","","","","1"
"Japan","20150907 23:50:00","Current Account n.s.a.","","","","1"
"Japan","20150907 23:50:00","Bank lending (YoY)","","","","1"
"Japan","20150907 23:50:00","Trade Balance - BOP Basis","","","","1"
"Japan","20150907 23:50:00","Gross Domestic Product (QoQ)","","","","1"
"Japan","20150907 23:50:00","Gross Domestic Product Annualized","","","","1"
"Japan","20150907 23:50:00","Gross Domestic Product Deflator (YoY)","","","","1"
