"country","date","name","actual","consensus","previous","volatility"
"Switzerland","20170117 00:00:00","World Economic Forum - Davos","","","","2"
"Russia","20170117 00:00:00","Budget Fulfilment","","","","1"
"Australia","20170117 00:30:00","Investment Lending for Homes","","","","2"
"Australia","20170117 00:30:00","Home Loans","","","","2"
"Australia","20170117 00:30:00","New Motor Vehicle Sales (YoY)","","","","1"
"Australia","20170117 00:30:00","New Motor Vehicle Sales (MoM)","","","","1"
"Japan","20170117 04:30:00","Industrial Production (YoY)","","","","2"
"Japan","20170117 04:30:00","Industrial Production (MoM)","","","","2"
"Japan","20170117 04:30:00","Capacity Utilization","","","","1"
"France","20170117 07:45:00","Budget","","","","1"
"Italy","20170117 09:00:00","Trade Balance EU","","","","1"
"Italy","20170117 09:00:00","Global Trade Balance","","","","1"
"Spain","20170117 09:30:00","12-Month Letras Auction","","","","1"
"Spain","20170117 09:30:00","6-Month Letras Auction","","","","1"
"United Kingdom","20170117 09:30:00","Retail Price Index (YoY)","","","","1"
"United Kingdom","20170117 09:30:00","Retail Price Index (MoM)","","","","1"
"United Kingdom","20170117 09:30:00","DCLG House Price Index (YoY)","","","","1"
"United Kingdom","20170117 09:30:00","Producer Price Index - Output (MoM) n.s.a","","","","2"
"United Kingdom","20170117 09:30:00","Producer Price Index - Output (YoY) n.s.a","","","","2"
"United Kingdom","20170117 09:30:00","PPI Core Output (MoM) n.s.a","","","","2"
"United Kingdom","20170117 09:30:00","Producer Price Index - Input (YoY) n.s.a","","","","2"
"United Kingdom","20170117 09:30:00","Producer Price Index - Input (MoM) n.s.a","","","","2"
"United Kingdom","20170117 09:30:00",""PPI Core Output (YoY) n.s.a "","","","","2"
"United Kingdom","20170117 09:30:00","Consumer Price Index (MoM)","","","","2"
"United Kingdom","20170117 09:30:00","Core Consumer Price Index (YoY)","","","","2"
"United Kingdom","20170117 09:30:00","Consumer Price Index (YoY)","","","","2"
"Germany","20170117 10:00:00","ZEW Survey - Economic Sentiment","","","","2"
"Germany","20170117 10:00:00","ZEW Survey - Current Situation","","","","2"
"European Monetary Union","20170117 10:00:00","ZEW Survey - Economic Sentiment","","","","2"
"United Kingdom","20170117 11:45:00","UK Prime Minister Theresa May speech","","","","3"
"European Monetary Union","20170117 11:45:00","UK Prime Minister Theresa May speech","","","","2"
"United States","20170117 13:30:00","NY Empire State Manufacturing Index","","","","1"
"United States","20170117 13:45:00","Fed's William Dudley speech","","","","1"
"United Kingdom","20170117 14:30:00","CB Leading Economic Index","","","","1"
"United States","20170117 15:00:00","FOMC Member Brainard Speech","","","","0"
"United States","20170117 15:00:00","IBD/TIPP Economic Optimism (MoM)","","","","1"
"United States","20170117 15:00:00","Treasury Sec Lew Speech","","","","2"
"New Zealand","20170117 15:00:00","GDT Price Index","","","","1"
"United States","20170117 16:30:00","4-Week Bill Auction","","","","1"
"United States","20170117 16:30:00","3-Month Bill Auction","","","","1"
"United States","20170117 16:30:00","6-Month Bill Auction","","","","1"
"Australia","20170117 23:30:00","Westpac Consumer Confidence Index","","","","1"
"Australia","20170117 23:30:00","Westpac Consumer Confidence","","","","2"
