"country","date","name","actual","consensus","previous","volatility"
"United Kingdom","20121130 00:01:00","Gfk Consumer Confidence",""," -30.000 "," -30.000 ","2"
"Japan","20121130 05:00:00","Annualized Housing Starts",""," 0.852 "," 0.888 ","2"
"Japan","20121130 05:00:00","Housing Starts (YoY)","","10.100  %","15.500  %","2"
"Germany","20121130 07:00:00","Retail Sales (YoY)","","1.200  %","-3.100  %","2"
"European Monetary Union","20121130 08:00:00","ECB President Draghi's Speech","","","","2"
"Switzerland","20121130 08:00:00","KOF Leading Indicator",""," 1.600 "," 1.670 ","2"
"Germany","20121130 09:00:00","Bundestag vote on Greek aid","","","","2"
"European Monetary Union","20121130 10:00:00","Consumer Price Index (YoY)","","2.500  %","2.500  %","2"
"European Monetary Union","20121130 10:00:00","Unemployment Rate","","11.700  %","11.600  %","2"
"South Africa","20121130 12:00:00","Trade Balance (in Rands)","",""," -12.200 ","1"
"Brazil","20121130 12:30:00","Nominal Budget Balance","",""," -12.254 ","1"
"Brazil","20121130 12:30:00","Primary Budget Surplus","",""," 1.591 ","1"
"United States","20121130 13:30:00","Core Personal Consumption Expenditure - Price Index (MoM)","","0.200  %","0.100  %","2"
"United States","20121130 13:30:00","Core Personal Consumption Expenditure - Prices Index (YoY)","","1.700  %","1.700  %","3"
"Canada","20121130 13:30:00","Gross Domestic Product (MoM)","","0.100  %","-0.100  %","2"
"Canada","20121130 13:30:00","Gross Domestic Product (YoY) ","","1.200  %","1.200  %","2"
"Canada","20121130 13:30:00","Gross Domestic Product Annualized (QoQ)","","0.900  %","1.800  %","2"
"United States","20121130 13:30:00","Personal Consumption Expenditures - Price Index (MoM)","","0.200  %","0.400  %","1"
"United States","20121130 13:30:00","Personal Consumption Expenditures - Price Index (YoY)","","1.800  %","1.700  %","2"
"United States","20121130 13:30:00","Personal Income (MoM)","","0.200  %","0.400  %","2"
"United States","20121130 13:30:00","Personal Spending","","0.200  %","0.800  %","2"
"Chile","20121130 14:00:00","Unemployment rate","","","","1"
"United States","20121130 14:45:00","Chicago Purchasing Managers' Index",""," 51.200 "," 49.900 ","1"
"Mexico","20121130 15:00:00","Central Bank Interest Rate","","","4.500  %","1"
"Poland","20121130 15:00:00","Gross Domestic Product Qtr (YoY)","","","2.400  %","1"
"Mexico","20121130 20:30:00","Fiscal Balance, pesos","",""," -8.800 ","1"
