"country","date","name","actual","consensus","previous","volatility"
"United States","20170601 00:10:00","FOMC Member Williams speech","","","","1"
"Japan","20170601 00:30:00","Nikkei Manufacturing PMI","","","","1"
"Australia","20170601 01:30:00","Retail Sales s.a. (MoM)","","","","2"
"Australia","20170601 01:30:00","Private Capital Expenditure","","","","1"
"China","20170601 01:45:00","Caixin Manufacturing PMI","","","","2"
"Japan","20170601 05:00:00","Vehicle Sales (YoY)","","","","1"
"Switzerland","20170601 05:45:00","Gross Domestic Product s.a. (QoQ)","","","","2"
"Switzerland","20170601 05:45:00","Gross Domestic Product (YoY)","","","","2"
"United Kingdom","20170601 06:00:00","Nationwide Housing Prices n.s.a (YoY)","","","","1"
"United Kingdom","20170601 06:00:00","Nationwide Housing Prices s.a (MoM)","","","","1"
"Russia","20170601 06:00:00","HSBC Manufacturing PMI	","","","","1"
"Australia","20170601 06:30:00","RBA Commodity Index SDR (YoY)","","","","1"
"Spain","20170601 07:15:00","Markit Manufacturing PMI","","","","1"
"Switzerland","20170601 07:15:00","Real Retail Sales (YoY)","","","","2"
"Switzerland","20170601 07:30:00","SVME - Purchasing Managers' Index","","","","1"
"Italy","20170601 07:45:00","Markit Manufacturing PMI","","","","1"
"France","20170601 07:50:00","Markit Manufacturing PMI","","","","1"
"Germany","20170601 07:55:00","Markit Manufacturing PMI","","","","2"
"Italy","20170601 08:00:00","Gross Domestic Product (YoY)","","","","2"
"Italy","20170601 08:00:00","Gross Domestic Product (QoQ)","","","","2"
"Greece","20170601 08:00:00","Markit Manufacturing PMI","","","","1"
"European Monetary Union","20170601 08:00:00","Markit Manufacturing PMI","","","","2"
"United Kingdom","20170601 08:30:00","Markit Manufacturing PMI","","","","2"
"France","20170601 09:00:00","10-y Bond Auction","","","","1"
"United Kingdom","20170601 09:30:00","10-y Bond Auction","","","","1"
" INR"","20170601 10:00:00",""Federal Fiscal Deficit","","","","India"
"United States","20170601 11:30:00","Challenger Job Cuts (YoY)","","","","1"
"Brazil","20170601 12:00:00","Gross Domestic Product (YoY)","","","","1"
"Brazil","20170601 12:00:00","Gross Domestic Product (QoQ)","","","","1"
"Russia","20170601 12:00:00","Gross Domestic Product Monthly (YoY)","","","","1"
"United States","20170601 12:15:00","ADP Employment Change","","","","2"
"United States","20170601 12:30:00","Continuing Jobless Claims","","","","1"
"United States","20170601 12:30:00","Initial Jobless Claims","","","","2"
"Brazil","20170601 13:00:00","HSBC PMI Manufacturing","","","","1"
"Canada","20170601 13:30:00","Markit Manufacturing PMI","","","","2"
"United States","20170601 13:45:00","Markit Manufacturing PMI","","","","2"
"United States","20170601 14:00:00","ISM Manufacturing PMI","","","","3"
"United States","20170601 14:00:00","ISM Prices Paid","","","","3"
"United States","20170601 14:00:00","Construction Spending (MoM)","","","","2"
"United States","20170601 14:30:00","EIA Natural Gas Storage change","","","","1"
"United States","20170601 15:00:00","EIA Crude Oil Stocks change","","","","1"
"United States","20170601 19:00:00","Total Vehicle Sales","","","","1"
"Japan","20170601 23:50:00","Monetary Base (YoY)","","","","1"
