Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
01/03/2011 10:00,US,1),,ISM Manufacturing,Dec,57,57,56.6,57.6,95.9016,NAPMPMI Index
01/03/2011 10:00,US,2),,ISM Prices Paid,Dec,71.8,72.5,69.5,--,71.3115,NAPMPRIC Index
01/03/2011 10:00,US,3),,Construction Spending MoM,Nov,0.20%,0.40%,0.70%,0.20%,78.6885,CNSTTMOM Index
01/04/2011 10:00,US,4),,Factory Orders,Nov,-0.10%,0.70%,-0.90%,-0.90%,86.0656,TMNOCHNG Index
01/04/2011 14:00,US,5),,Minutes of FOMC Meeting,,,,,,0,
01/04/2011 17:00,US,6),,Wards Domestic Vehicle Sales,Dec,9.21E+06,9.46E+06,9.27E+06,9.24E+06,35.2459,SAARDTOT Index
01/04/2011 17:00,US,7),,ABC Consumer Confidence,2-Jan,--,-45,-44,--,0,ACNFCOMF Index
01/04/2011 17:00,US,8),,Wards Total Vehicle Sales,Dec,1.23E+07,1.25E+07,1.23E+07,1.21E+07,41.8033,SAARTOTL Index
01/04/2011 17:00,US,9),,Bloomberg Consumer Comfort,2-Jan,--,-45,-44,28,62.2951,COMFCOMF Index
01/05/2011 07:00,US,10),,MBA Mortgage Applications,31-Dec,--,2.30%,-3.90%,-18.60%,92.623,MBAVCHNG Index
01/05/2011 07:30,US,11),,Challenger Job Cuts YoY,Dec,--,-29%,-3.30%,--,32.7869,CHALYOY% Index
01/05/2011 08:15,US,12),,ADP Employment Change,Dec,100000,297000,93000,180000,81.1475,ADP CHNG Index
01/05/2011 10:00,US,13),,ISM Non-Manf. Composite,Dec,55.7,57.1,55,56.7,74.5902,NAPMNMI Index
01/06/2011 08:30,US,14),,Continuing Claims,25-Dec,4.08E+06,4.10E+06,4.13E+06,4.11E+06,68.8525,INJCSP Index
01/06/2011 08:30,US,15),,Initial Jobless Claims,1-Jan,408000,409000,388000,406000,98.3607,INJCJC Index
01/06/2011 11:30,US,16),,ICSC Chain Store Sales YoY,Dec,--,3.10%,5.80%,5.40%,0,MBRXYOYW Index
