"country","date","name","actual","consensus","previous","volatility"
"Japan","20130319 00:00:00","Bank of Japan Governor Shirakawa Steps Down ","","","","2"
"Australia","20130319 00:30:00","RBA Meeting's Minutes","","","","2"
"China","20130319 02:00:00","FDI - Foreign Direct Investment (YTD)(YoY)","","","-7.300  %","2"
"Japan","20130319 05:00:00","Leading Economic Index","",""," 93.200 ","2"
"United Kingdom","20130319 09:30:00","Consumer Price Index (YoY)","","2.800  %","2.700  %","2"
"European Monetary Union","20130319 09:30:00","Consumer Price Index (YoY)","","2.800  %","2.700  %","2"
"United Kingdom","20130319 09:30:00","Consumer Price Index (MoM)","","0.700  %","-0.500  %","2"
"United Kingdom","20130319 09:30:00","Core Consumer Price Index (YoY)","","","2.300  %","2"
"European Monetary Union","20130319 09:30:00","Core Consumer Price Index (YoY)","","","2.300  %","2"
"United Kingdom","20130319 09:30:00","PPI Core Output (YoY) n.s.a ","","1.100  %","1.400  %","2"
"United Kingdom","20130319 09:30:00","Producer Price Index - Output (YoY) n.s.a","","1.800  %","2.000  %","2"
"United Kingdom","20130319 09:30:00","Retail Price Index (YoY)","","3.300  %","3.300  %","2"
"Germany","20130319 10:00:00","ZEW Survey - Economic Sentiment",""," 48.000 "," 48.200 ","2"
"Germany","20130319 10:00:00","ZEW Survey - Current Situation",""," 6.000 "," 5.200 ","2"
"European Monetary Union","20130319 10:00:00","ZEW Survey - Economic Sentiment",""," 43.700 "," 42.400 ","2"
"United Kingdom","20130319 10:30:00","BOE Inflation Letter","","","","2"
"European Monetary Union","20130319 10:30:00","BOE Inflation Letter","","","","2"
"United States","20130319 12:30:00","Housing Starts (MoM)",""," 0.915 "," 0.890 ","2"
"United States","20130319 12:30:00","Building Permits (MoM)",""," 0.925 "," 0.925 ","2"
"Canada","20130319 12:30:00","Wholesale Sales (MoM)","","0.400  %","-0.900  %","1"
"Canada","20130319 12:30:00","Manufacturing Shipments (MoM)","","0.900  %","-3.100  %","1"
"United States","20130319 12:55:00","Redbook index (MoM)","","","0.600  %","1"
"United States","20130319 12:55:00","Redbook index (YoY)","","","2.700  %","1"
"Poland","20130319 13:00:00","Industrial Output (YoY)","","","0.300  %","1"
"Poland","20130319 13:00:00","Producer Price Index (YoY)","","-0.400  %","-1.200  %","1"
"Belgium","20130319 14:00:00","Consumer Confidence Index","",""," -17.000 ","1"
"Mexico","20130319 14:00:00","Private Spending (QoQ)","","","1.000  %","1"
"Mexico","20130319 14:00:00","Private Spending (YoY)","","","2.200  %","1"
"Russia","20130319 14:00:00","Producer Price Index (MoM)","","","-0.400  %","1"
"Russia","20130319 14:00:00","Producer Price Index (YoY)","","","5.100  %","1"
"United States","20130319 15:30:00","4-Week Bill Auction","","","0.100  %","1"
"Argentina","20130319 21:00:00","Primary Budget Balance (MoM)","",""," -11,046.000 ","1"
"New Zealand","20130319 21:45:00","Current Account - GDP Ratio","","","-4.700  %","1"
"New Zealand","20130319 21:45:00","Current Account (QoQ)","","$ -2.997 ","$ -4.420 ","2"
"Australia","20130319 23:30:00","Westpac Leading Index (MoM)","","","0.200  %","1"
