"country","date","name","actual","consensus","previous","volatility"
"Japan","20130610 05:00:00","Consumer Confidence Index","",""," 44.500 ","2"
"Switzerland","20130610 05:45:00","Unemployment Rate s.a (MoM)","","3.200  %","3.100  %","2"
"Japan","20130610 06:00:00","Eco Watchers Survey: Current","",""," 56.500 ","2"
"Japan","20130610 06:00:00","Eco Watchers Survey: Outlook","",""," 57.800 ","2"
"Switzerland","20130610 07:15:00","Real Retail Sales (YoY)","","2.400  %","-0.900  %","2"
"European Monetary Union","20130610 08:30:00","Sentix Investor Confidence",""," -10.000 "," -15.600 ","2"
"Italy","20130610 09:00:00","Public Deficit/GDP","","","1.400  %","2"
"Canada","20130610 12:15:00","Housing Starts s.a (YoY)","",""," 174.900 ","2"
"United States","20130610 13:50:00","Fed's Bullard speech","","","","1"
"United Kingdom","20130610 23:01:00","RICS Housing Price Balance","","","1.000  %","2"
"Japan","20130610 23:50:00","BSI Large Manufacturing (QoQ)",""," -2.100 "," -4.600 ","1"
"Japan","20130610 23:50:00","Money Supply M2+CD (YoY)","","3.500  %","3.300  %","1"
