"country","date","name","actual","consensus","previous","volatility"
"Japan","20140314 04:30:00","Industrial Production (YoY)","","","7.100  %","2"
"Germany","20140314 07:00:00","Consumer Price Index (YoY)","","1.200  %","1.300  %","2"
"Germany","20140314 07:00:00","Harmonised Index of Consumer Prices (YoY)","","1.000  %","1.200  %","2"
"United Kingdom","20140314 09:30:00","Total Trade Balance","","","£ -1.026 ","2"
"United Kingdom","20140314 09:30:00","Goods Trade Balance","","£ -8.700 ","£ -7.717 ","2"
"United Kingdom","20140314 09:30:00","Trade Balance; non-EU","","£ -2.700 ","£ -2.198 ","2"
"United States","20140314 12:30:00","Producer Price Index (MoM)","","0.200  %","0.200  %","1"
"United States","20140314 12:30:00","Producer Price Index (YoY)","","1.200  %","1.200  %","2"
"United States","20140314 12:30:00","Producer Price Index ex Food & Energy (MoM)","","0.200  %","0.200  %","1"
"United States","20140314 12:30:00","Producer Price Index ex Food & Energy (YoY)","","1.400  %","1.300  %","2"
"Poland","20140314 13:00:00","Consumer Price Index (MoM)","","","0.100  %","1"
"Poland","20140314 13:00:00","Consumer Price Index (YoY)","","","0.700  %","1"
"Poland","20140314 13:00:00","M3 Money Supply (YoY)","","","5.500  %","1"
"United States","20140314 13:55:00","Reuters/Michigan Consumer Sentiment Index",""," 82.000 "," 81.600 ","3"
"Argentina","20140314 19:00:00","Consumer Price Index (MoM)","","","3.700  %","1"
