"country","date","name","actual","consensus","previous","volatility"
"Australia","20131114 00:00:00","Consumer Inflation Expectation","1.900  %","","2.000  %","2"
"United States","20131114 00:00:00","Fed's Bernanke Speech","","","","2"
"China","20131114 02:00:00","FDI - Foreign Direct Investment (YTD)(YoY)","","","6.200  %","2"
"Japan","20131114 04:30:00","Industrial Production (YoY)","","","-0.400  %","2"
"France","20131114 06:30:00","Gross Domestic Product (YoY)","","","0.000  %","2"
"Germany","20131114 07:00:00","Gross Domestic Product s.a (QoQ)","","0.300  %","0.700  %","2"
"Germany","20131114 07:00:00","Gross Domestic Product n.s.a (YoY)","","0.700  %","0.900  %","2"
"Germany","20131114 07:00:00","Gross Domestic Product w.d.a (YoY)","","","0.500  %","2"
"European Monetary Union","20131114 09:00:00","ECB Monthly Report","","","","2"
"United Kingdom","20131114 09:30:00","Retail Sales (YoY)","","3.100  %","2.200  %","2"
"European Monetary Union","20131114 09:30:00","Retail Sales (YoY)","","3.100  %","2.200  %","2"
"United Kingdom","20131114 09:30:00","Retail Sales (MoM)","","0.000  %","0.600  %","2"
"United Kingdom","20131114 09:30:00","Retail Sales ex-Fuel (MoM)","","-0.200  %","0.700  %","2"
"United Kingdom","20131114 09:30:00","Retail Sales ex-Fuel (YoY)","","3.100  %","2.800  %","2"
"European Monetary Union","20131114 09:30:00","Retail Sales ex-Fuel (YoY)","","3.100  %","2.800  %","2"
"European Monetary Union","20131114 10:00:00","Gross Domestic Product s.a. (YoY)","","-0.300  %","-0.500  %","2"
"European Monetary Union","20131114 10:00:00","Gross Domestic Product s.a. (QoQ)","","0.200  %","0.300  %","2"
"Poland","20131114 13:00:00","M3 Money Supply (YoY)","","","6.100  %","1"
"United States","20131114 13:30:00","Initial Jobless Claims",""," 330.000 "," 336.000 ","2"
"United States","20131114 13:30:00","Continuing Jobless Claims",""," 2.870 "," 2.868 ","1"
"Canada","20131114 13:30:00","International Merchandise Trade","","$ -1.000 ","$ -1.310 ","1"
"Canada","20131114 13:30:00","Exports","","$ 39.800 ","$ 39.770 ","1"
"Canada","20131114 13:30:00","Imports","","$ 40.900 ","$ 41.080 ","1"
"Canada","20131114 13:30:00","New Housing Price Index (YoY)","","","1.800  %","2"
"Canada","20131114 13:30:00","New Housing Price Index (MoM)","","0.100  %","0.100  %","1"
"United States","20131114 13:30:00","Nonfarm Productivity","","2.200  %","2.300  %","1"
"United States","20131114 13:30:00","Trade Balance","","$ -39.000 ","$ -38.800 ","2"
"United States","20131114 13:30:00","Unit Labor Costs","","0.200  %","0.000  %","1"
"United States","20131114 15:00:00","FOMC Member Yellen Speech","","","","3"
"Canada","20131114 15:30:00","BoC Review","","","","2"
"United States","20131114 15:30:00","EIA Natural Gas Storage change",""," 21.000 "," 35.000 ","1"
"United States","20131114 16:00:00","EIA Crude Oil Stocks change",""," 0.700 "," 1.577 ","1"
"United States","20131114 18:00:00","30-Year Bond Auction","","","3.758  %","1"
"United Kingdom","20131114 18:45:00","MPC Member Miles Speech","","","","2"
