"country","date","name","actual","consensus","previous","volatility"
"Japan","20170901 00:30:00","Nikkei Manufacturing PMI","","","","1"
"China","20170901 01:45:00","Caixin Manufacturing PMI","","","","2"
"Japan","20170901 05:00:00","Vehicle Sales (YoY)","","","","1"
"Japan","20170901 05:00:00","Consumer Confidence Index","","","","1"
"Russia","20170901 06:00:00","HSBC Manufacturing PMI	","","","","1"
"Australia","20170901 06:30:00","RBA Commodity Index SDR (YoY)","","","","1"
"Spain","20170901 07:15:00","Markit Manufacturing PMI","","","","1"
"Switzerland","20170901 07:15:00","Real Retail Sales (YoY)","","","","2"
"Switzerland","20170901 07:30:00","SVME - Purchasing Managers' Index","","","","1"
"Italy","20170901 07:45:00","Markit Manufacturing PMI","","","","1"
"France","20170901 07:50:00","Markit Manufacturing PMI","","","","1"
"Germany","20170901 07:55:00","Markit Manufacturing PMI","","","","2"
"Italy","20170901 08:00:00","Gross Domestic Product (YoY)","","","","1"
"Italy","20170901 08:00:00","Gross Domestic Product (QoQ)","","","","1"
"Greece","20170901 08:00:00","Markit Manufacturing PMI","","","","1"
"European Monetary Union","20170901 08:00:00","Markit Manufacturing PMI","","","","2"
"United Kingdom","20170901 08:30:00","Markit Manufacturing PMI","","","","2"
"Greece","20170901 09:00:00","Gross Domestic Product n.s.a (YoY)","","","","1"
"Brazil","20170901 11:00:00","Gross Domestic Product (YoY)","","","","1"
"Brazil","20170901 11:00:00","Gross Domestic Product (QoQ)","","","","1"
"India","20170901 11:30:00","M3 Money Supply","","","","1"
"India","20170901 11:30:00","Bank Loan Growth","","","","1"
" USD"","20170901 11:30:00",""FX Reserves","","","","India"
"United States","20170901 12:30:00","Nonfarm Payrolls","","","","3"
"United States","20170901 12:30:00","Average Weekly Hours","","","","2"
"United States","20170901 12:30:00","Average Hourly Earnings (YoY)","","","","2"
"United States","20170901 12:30:00","Labor Force Participation Rate","","","","2"
"United States","20170901 12:30:00","Average Hourly Earnings (MoM)","","","","3"
"United States","20170901 12:30:00","Unemployment Rate","","","","3"
"Brazil","20170901 13:00:00","HSBC PMI Manufacturing","","","","1"
"Canada","20170901 13:30:00","Markit Manufacturing PMI","","","","2"
"United States","20170901 13:45:00","Markit Manufacturing PMI","","","","2"
"United States","20170901 14:00:00","Michigan Consumer Sentiment Index","","","","1"
"United States","20170901 14:00:00","ISM Manufacturing PMI","","","","3"
"United States","20170901 14:00:00","ISM Prices Paid","","","","3"
"United States","20170901 14:00:00","Construction Spending (MoM)","","","","2"
"United States","20170901 17:00:00","Baker Hughes US Oil Rig Count","","","","2"
"United States","20170901 19:30:00","CFTC USD NC net positions","","","","1"
"United States","20170901 19:30:00","CFTC Gold NC net positions","","","","1"
"United States","20170901 19:30:00","CFTC Oil NC net positions","","","","1"
"United States","20170901 19:30:00","Total Vehicle Sales","","","","1"
"United Kingdom","20170901 19:30:00","CFTC GBP NC net positions","","","","1"
"Japan","20170901 19:30:00","CFTC JPY NC net positions","","","","1"
"European Monetary Union","20170901 19:30:00","CFTC EUR NC net positions","","","","1"
"Australia","20170901 19:30:00","CFTC AUD NC net positions","","","","1"
