"country","date","name","actual","consensus","previous","volatility"
"Australia","20160830 01:30:00","Building Permits (YoY)","","","","1"
"Australia","20160830 01:30:00","Building Permits (MoM)","","","","1"
"Germany","20160830 06:00:00","Import Price Index (MoM)","","","","1"
"Germany","20160830 06:00:00","Import Price Index (YoY)","","","","1"
"Spain","20160830 07:00:00","HICP (YoY)","","","","1"
"Switzerland","20160830 07:00:00","KOF Leading Indicator","","","","2"
"Switzerland","20160830 07:15:00","Employment Level (QoQ)","","","","1"
"Italy","20160830 08:00:00","Retail Sales n.s.a (YoY)","","","","1"
"Italy","20160830 08:00:00","Retail Sales s.a. (MoM)","","","","1"
"United Kingdom","20160830 08:30:00","Net Lending to Individuals (MoM)","","","","1"
"United Kingdom","20160830 08:30:00","Consumer Credit","","","","2"
"United Kingdom","20160830 08:30:00","Mortgage Approvals","","","","2"
"United Kingdom","20160830 08:30:00","M4 Money Supply (YoY)","","","","1"
"United Kingdom","20160830 08:30:00","M4 Money Supply (MoM)","","","","1"
"Italy","20160830 09:00:00","10-y Bond Auction","","","","1"
"Italy","20160830 09:00:00","5-y Bond Auction","","","","1"
"Greece","20160830 09:00:00","Producer Price Index (YoY)","","","","1"
"European Monetary Union","20160830 09:00:00","Consumer Confidence","","","","1"
"European Monetary Union","20160830 09:00:00","Services Sentiment","","","","1"
"European Monetary Union","20160830 09:00:00","Industrial Confidence","","","","1"
"European Monetary Union","20160830 09:00:00","Economic Sentiment Indicator","","","","1"
"European Monetary Union","20160830 09:00:00","Business Climate","","","","1"
"Portugal","20160830 10:00:00","Business Confidence","","","","1"
"Portugal","20160830 10:00:00","Consumer Confidence","","","","1"
"Brazil","20160830 11:00:00","Inflation Index/IGP-M","","","","1"
"Germany","20160830 12:00:00","Consumer Price Index (YoY)","","","","2"
"Germany","20160830 12:00:00","Harmonised Index of Consumer Prices (YoY)","","","","2"
"Germany","20160830 12:00:00","Consumer Price Index (MoM)","","","","2"
"Germany","20160830 12:00:00","Harmonised Index of Consumer Prices (MoM)","","","","2"
"Brazil","20160830 12:00:00","Unemployment Rate","","","","1"
"Canada","20160830 12:30:00","Industrial Product Price (MoM)","","","","1"
"Canada","20160830 12:30:00","Raw Material Price Index","","","","1"
"Canada","20160830 12:30:00","Current Account","","","","2"
"United States","20160830 12:55:00","Redbook index (MoM)","","","","1"
"United States","20160830 12:55:00","Redbook index (YoY)","","","","1"
"United States","20160830 13:00:00","S&P/Case-Shiller Home Price Indices (YoY)","","","","2"
"United States","20160830 14:00:00","Consumer Confidence","","","","2"
"United States","20160830 15:30:00","4-Week Bill Auction","","","","1"
" pesos"","20160830 19:30:00",""Fiscal Balance","","","","Mexico"
"United States","20160830 20:30:00","API Weekly Crude Oil Stock","","","","1"
"United Kingdom","20160830 23:05:00","Gfk Consumer Confidence","","","","2"
"Japan","20160830 23:50:00","Industrial Production (YoY)","","","","2"
"Japan","20160830 23:50:00","Industrial Production (MoM)","","","","2"
