"country","date","name","actual","consensus","previous","volatility"
"Germany","20160325 00:00:00","Good Friday","","","","0"
"Spain","20160325 00:00:00","Good Friday","","","","0"
"Greece","20160325 00:00:00",""Independence Day "","","","","0"
"Portugal","20160325 00:00:00","Good Friday","","","","0"
"India","20160325 00:00:00",""Good Friday "","","","","0"
"New Zealand","20160325 00:00:00","Good Friday","","","","0"
"Switzerland","20160325 00:00:00","Good Friday","","","","0"
"Canada","20160325 00:00:00","Good Friday","","","","0"
"Australia","20160325 00:00:00","Good Friday","","","","0"
"Japan","20160325 05:00:00","Coincident Index","","","","2"
"Japan","20160325 05:00:00","Leading Economic Index","","","","2"
"France","20160325 06:30:00","Gross Domestic Product (QoQ)","","","","1"
"France","20160325 07:45:00","Consumer Confidence","","","","1"
" USD"","20160325 11:30:00",""FX Reserves","","","","India"
"United States","20160325 12:30:00","Gross Domestic Product Price Index","","","","2"
"United States","20160325 12:30:00","Gross Domestic Product Annualized","","","","2"
"United States","20160325 12:30:00","Personal Consumption Expenditures Prices (QoQ)","","","","2"
"United States","20160325 12:30:00","Core Personal Consumption Expenditures (QoQ)","","","","2"
