"country","date","name","actual","consensus","previous","volatility"
"Japan","20180109 00:00:00","Labor Cash Earnings (YoY)","","","","1"
"United Kingdom","20180109 00:01:00","BRC Like-For-Like Retail Sales (YoY)","","","","2"
"Australia","20180109 00:30:00","ANZ Job Advertisements","","","","1"
"Australia","20180109 00:30:00","Building Permits (YoY)","","","","1"
"Australia","20180109 00:30:00","Building Permits (MoM)","","","","1"
"Japan","20180109 05:00:00","Consumer Confidence Index","","","","1"
"Switzerland","20180109 06:45:00","Unemployment Rate s.a (MoM)","","","","2"
"Germany","20180109 07:00:00","Industrial Production s.a. (MoM)","","","","1"
"Germany","20180109 07:00:00","Industrial Production n.s.a. w.d.a. (YoY)","","","","1"
"Germany","20180109 07:00:00","Exports (MoM)","","","","2"
"Germany","20180109 07:00:00","Trade Balance s.a.","","","","2"
"Germany","20180109 07:00:00","Current Account n.s.a.","","","","2"
"Germany","20180109 07:00:00","Imports (MoM)","","","","2"
" EUR"","20180109 07:45:00",""Imports","","","","France"
"France","20180109 07:45:00","Trade Balance EUR","","","","1"
" EUR"","20180109 07:45:00",""Exports","","","","France"
"France","20180109 07:45:00","Current Account","","","","1"
"European Monetary Union","20180109 08:00:00","Non-monetary policy's ECB meeting","","","","3"
"Switzerland","20180109 08:00:00","Foreign Currency Reserves","","","","1"
"Switzerland","20180109 08:15:00","Real Retail Sales (YoY)","","","","2"
"Italy","20180109 09:00:00","Unemployment","","","","2"
"Greece","20180109 10:00:00","Industrial Production (YoY)","","","","1"
"European Monetary Union","20180109 10:00:00","Unemployment Rate","","","","2"
"United Kingdom","20180109 10:30:00","10-y Bond Auction","","","","1"
"United States","20180109 11:00:00","NFIB Business Optimism Index","","","","1"
"Brazil","20180109 11:00:00","Retail Sales (MoM)","","","","1"
"Portugal","20180109 11:00:00","Global Trade Balance","","","","1"
"Russia","20180109 13:00:00","Consumer Price Index (MoM)","","","","1"
"Canada","20180109 13:15:00","Housing Starts s.a (YoY)","","","","2"
"United States","20180109 13:55:00","Redbook index (MoM)","","","","1"
"United States","20180109 13:55:00","Redbook index (YoY)","","","","1"
"United States","20180109 15:00:00","JOLTS Job Openings","","","","1"
"United States","20180109 15:00:00","FOMC Member Kashkari Speech","","","","2"
"United States","20180109 15:00:00","IBD/TIPP Economic Optimism (MoM)","","","","1"
"United States","20180109 16:30:00","4-Week Bill Auction","","","","1"
"United States","20180109 18:00:00","3-Year Note Auction","","","","1"
"United States","20180109 21:30:00","API Weekly Crude Oil Stock","","","","1"
