"country","date","name","actual","consensus","previous","volatility"
"China","20140102 01:45:00","HSBC Manufacturing PMI"," 50.500 ",""," 50.800 ","2"
"Germany","20140102 08:53:00","Markit Manufacturing PMI",""," 54.200 "," 52.700 ","2"
"European Monetary Union","20140102 08:58:00","Markit Manufacturing PMI",""," 52.700 "," 51.600 ","2"
"United Kingdom","20140102 09:28:00","Markit Manufacturing PMI",""," 58.000 "," 58.400 ","2"
"Czech Republic","20140102 13:00:00","Budget Balance","",""," -79.370 ","1"
"United States","20140102 13:30:00","Initial Jobless Claims",""," 334.000 "," 338.000 ","2"
"United States","20140102 13:30:00","Continuing Jobless Claims","",""," 2.923 ","2"
"United States","20140102 13:58:00","Markit Manufacturing PMI","","","","2"
"United States","20140102 15:00:00","Construction Spending (MoM)","","0.600  %","0.800  %","2"
"United States","20140102 15:00:00","ISM Manufacturing PMI",""," 57.000 "," 57.300 ","2"
"United States","20140102 15:00:00","ISM Prices Paid",""," 53.000 "," 52.500 ","2"
"Brazil","20140102 17:00:00","Trade Balance","",""," 1.740 ","1"
"country","date","name","actual","consensus","previous","volatility"
"China","20140103 01:00:00","Non-manufacturing PMI"," 54.600 ",""," 56.000 ","2"
"United Kingdom","20140103 07:00:00","Nationwide Housing Prices n.s.a (YoY)","8.400  %","7.100  %","6.500  %","2"
"Switzerland","20140103 08:00:00","KOF Leading Indicator",""," 1.930 "," 1.850 ","2"
"Switzerland","20140103 08:30:00","SVME - Purchasing Managers' Index",""," 56.900 "," 56.500 ","2"
"United Kingdom","20140103 09:30:00","Consumer Credit","","£ 0.700 ","£ 0.457 ","2"
"United Kingdom","20140103 09:30:00","Mortgage Approvals",""," 69.000 "," 67.701 ","2"
"United Kingdom","20140103 09:30:00","Net Lending to Individuals (MoM)","","£ 2.000 ","£ 1.700 ","2"
"United Kingdom","20140103 09:30:00","PMI Construction",""," 62.000 "," 62.600 ","2"
"United States","20140103 14:45:00","ISM New York index","",""," 69.500 ","1"
"Denmark","20140103 15:00:00","Currency Reserves","",""," 489.300 ","1"
"United States","20140103 15:30:00","EIA Natural Gas Storage change",""," -125.000 "," -177.000 ","1"
"United States","20140103 16:00:00","EIA Crude Oil Stocks change",""," -2.300 "," -4.731 ","1"
"United States","20140103 17:45:00","Philadelphia Fed's Plosser speech","","","","1"
"United States","20140103 18:15:00","FOMC Member Stein Speech","","","","1"
"United States","20140103 19:30:00","Fed's Bernanke Speech","","","","3"
"Argentina","20140103 20:00:00","Tax Revenue (MoM)","",""," 73.580 ","1"
"United States","20140103 22:00:00","Total Vehicle Sales",""," 16.000 "," 16.400 ","1"
"country","date","name","actual","consensus","previous","volatility"
"United States","20140104 15:15:00","Fed Minneapolis's Narayana Kocherlakota speech ","","","","1"
"United States","20140104 15:15:00","Federal Reserve Bank of Boston President Rosengren Speech","","","","1"
"United States","20140104 15:15:00","Fed's William Dudley speech","","","","1"
"United States","20140104 15:15:00","Philadelphia Fed's Plosser speech","","","","1"
"country","date","name","actual","consensus","previous","volatility"
"Korea, Republic of","20140105 21:00:00","FX Reserves","",""," 345.010 ","1"
"Australia","20140105 22:30:00","AiG Performance of Services Index","",""," 48.900 ","2"
"country","date","name","actual","consensus","previous","volatility"
"China","20140106 01:45:00","HSBC China Services PMI","",""," 52.500 ","2"
"Germany","20140106 08:53:00","Markit Services PMI",""," 54.000 "," 55.700 ","2"
"European Monetary Union","20140106 08:58:00","Markit PMI Composite",""," 52.100 "," 51.700 ","2"
"European Monetary Union","20140106 08:58:00","Markit Services PMI",""," 51.000 "," 51.200 ","2"
"United Kingdom","20140106 09:28:00","Markit Services PMI",""," 60.000 "," 60.000 ","2"
"European Monetary Union","20140106 09:30:00","Sentix Investor Confidence",""," 9.500 "," 8.000 ","2"
"Germany","20140106 13:00:00","Consumer Price Index (YoY)","","1.400  %","1.300  %","3"
"Germany","20140106 13:00:00","Consumer Price Index (MoM)","","0.300  %","0.200  %","2"
"Germany","20140106 13:00:00","Harmonised Index of Consumer Prices (MoM)","","0.800  %","0.200  %","2"
"Germany","20140106 13:00:00","Harmonised Index of Consumer Prices (YoY)","","1.400  %","1.600  %","3"
"Chile","20140106 13:30:00","IMACEC","","","3.900  %","1"
"Singapore","20140106 13:30:00","Purchasing Managers Index","",""," 50.800 ","1"
"Canada","20140106 13:30:00","Raw Material Price Index","","-1.100  %","-2.300  %","1"
