"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20130731 01:00:00","ANZ Business Confidence"," 52.800 ","","","2"
"Japan","20130731 01:30:00","Labor Cash Earnings (YoY)","0.100  %","0.200  %","0.000  %","2"
"Australia","20130731 01:30:00","Private Sector Credit (MoM)","0.400  %","0.300  %","0.300  %","2"
"Australia","20130731 01:30:00","Private Sector Credit (YoY)","3.100  %","2.900  %","3.000  %","2"
"Japan","20130731 05:00:00","Housing Starts (YoY)","","15.800  %","14.500  %","2"
"Japan","20130731 05:00:00","Annualized Housing Starts",""," 0.982 "," 1.027 ","2"
"Switzerland","20130731 06:00:00","UBS Consumption Indicator","",""," 1.460 ","2"
"Switzerland","20130731 07:00:00","KOF Leading Indicator",""," 1.260 "," 1.160 ","2"
"Germany","20130731 07:55:00","Unemployment Rate s.a.","","6.800  %","6.800  %","2"
"Germany","20130731 07:55:00","Unemployment Change",""," -4.000 "," -12.000 ","2"
"Italy","20130731 08:00:00","Unemployment","","12.300  %","12.200  %","2"
"European Monetary Union","20130731 09:00:00","Consumer Price Index - Core (YoY)","","1.600  %","1.200  %","2"
"European Monetary Union","20130731 09:00:00","Consumer Price Index (YoY)","","1.700  %","1.600  %","2"
"South Africa","20130731 12:00:00","Trade Balance (in Rands)","",""," -11.030 ","1"
"United States","20130731 12:15:00","ADP Employment Change",""," 182.000 "," 188.000 ","2"
"United States","20130731 12:30:00","Employment cost index","","0.400  %","0.500  %","1"
"Canada","20130731 12:30:00","Gross Domestic Product (MoM)","","0.300  %","0.100  %","2"
"Canada","20130731 12:30:00","Gross Domestic Product Annualized (QoQ)","","","2.500  %","2"
"United States","20130731 12:30:00","Gross Domestic Product Price Index","","1.000  %","1.300  %","2"
"United States","20130731 12:30:00","Gross Domestic Product Annualized","","1.200  %","1.800  %","3"
"United States","20130731 12:30:00","Personal Consumption Expenditures Prices (QoQ)","","1.600  %","1.000  %","2"
"United States","20130731 12:30:00","Core Personal Consumption Expenditures (QoQ)","","1.100  %","1.300  %","1"
"Belgium","20130731 13:00:00","Gross Domestic Product (QoQ)","","","0.100  %","1"
"Chile","20130731 13:00:00","Unemployment rate","","","6.400  %","1"
"United States","20130731 13:45:00","Chicago Purchasing Managers' Index",""," 54.000 "," 51.600 ","2"
"United States","20130731 14:30:00","EIA Crude Oil Stocks change","",""," -2.825 ","1"
"Colombia","20130731 17:00:00","National Jobless Rate","","","9.600  %","1"
"United States","20130731 18:00:00","Fed Interest Rate Decision","","0.250  %","0.250  %","3"
"United States","20130731 18:00:00","Fed's Monetary Policy Statement and press conference","","","","3"
"Korea, Republic of","20130731 23:00:00","Consumer Price Index Growth","","","-0.100  %","1"
"Korea, Republic of","20130731 23:00:00","Consumer Price Index Growth (YoY)","","","1.000  %","1"
"Australia","20130731 23:30:00","AiG Performance of Mfg Index","",""," 49.600 ","2"
"Japan","20130731 23:50:00","Foreign bond investment","","","¥ 549.300 ","2"
"Japan","20130731 23:50:00","Foreign investment in Japan stocks","","","¥ 349.800 ","2"
