"country","date","name","actual","consensus","previous","volatility"
"New Zealand","20161031 00:00:00","ANZ Business Confidence","","","","1"
"New Zealand","20161031 00:00:00","ANZ Activity Outlook","","","","1"
"Australia","20161031 00:00:00","TD Securities Inflation (MoM)","","","","2"
"Australia","20161031 00:00:00","TD Securities Inflation (YoY)","","","","2"
"Japan","20161031 00:30:00","Nikkei Manufacturing PMI","","","","1"
"Australia","20161031 00:30:00","Private Sector Credit (YoY)","","","","1"
"Australia","20161031 00:30:00","Private Sector Credit (MoM)","","","","1"
"New Zealand","20161031 02:00:00","M3 Money Supply (YoY)","","","","0"
"Japan","20161031 05:00:00","Annualized Housing Starts","","","","1"
"Japan","20161031 05:00:00","Housing Starts (YoY)","","","","1"
"Japan","20161031 05:00:00","Construction Orders (YoY)","","","","1"
"Germany","20161031 07:00:00","Retail Sales (YoY)","","","","1"
"Germany","20161031 07:00:00","Retail Sales (MoM)","","","","1"
"Spain","20161031 08:00:00","Retail Sales (YoY)","","","","1"
" INR"","20161031 08:30:00",""Federal Fiscal Deficit","","","","India"
"Spain","20161031 09:00:00","Current Account Balance","","","","1"
"United Kingdom","20161031 09:30:00","Net Lending to Individuals (MoM)","","","","1"
"United Kingdom","20161031 09:30:00","Consumer Credit","","","","2"
"United Kingdom","20161031 09:30:00","Mortgage Approvals","","","","2"
"United Kingdom","20161031 09:30:00","M4 Money Supply (MoM)","","","","1"
"United Kingdom","20161031 09:30:00","M4 Money Supply (YoY)","","","","1"
"Italy","20161031 10:00:00","Consumer Price Index (YoY)","","","","1"
"Italy","20161031 10:00:00","Consumer Price Index (EU Norm) (MoM)","","","","1"
"Italy","20161031 10:00:00","Consumer Price Index (MoM)","","","","1"
"Italy","20161031 10:00:00","Consumer Price Index (EU Norm) (YoY)","","","","1"
"Greece","20161031 10:00:00","Retail Sales (YoY)","","","","1"
"European Monetary Union","20161031 10:00:00","Gross Domestic Product s.a. (QoQ)","","","","3"
"European Monetary Union","20161031 10:00:00","Gross Domestic Product s.a. (YoY)","","","","3"
"European Monetary Union","20161031 10:00:00","Consumer Price Index (YoY)","","","","3"
"European Monetary Union","20161031 10:00:00","Consumer Price Index - Core (YoY)","","","","3"
"Italy","20161031 11:00:00","Producer Price Index (YoY)","","","","1"
"Italy","20161031 11:00:00","Producer Price Index (MoM)","","","","1"
"United States","20161031 12:30:00","Personal Income (MoM)","","","","2"
"United States","20161031 12:30:00","Personal Consumption Expenditures - Price Index (YoY)","","","","2"
"United States","20161031 12:30:00","Core Personal Consumption Expenditure - Price Index (MoM)","","","","2"
"United States","20161031 12:30:00","Personal Consumption Expenditures - Price Index (MoM)","","","","2"
"United States","20161031 12:30:00","Core Personal Consumption Expenditure - Price Index (YoY)","","","","2"
"United States","20161031 12:30:00","Personal Spending","","","","2"
"Brazil","20161031 12:30:00","Nominal Budget Balance","","","","1"
"Brazil","20161031 12:30:00","Primary Budget Surplus","","","","1"
"Canada","20161031 12:30:00","Raw Material Price Index","","","","1"
"Canada","20161031 12:30:00","Industrial Product Price (MoM)","","","","1"
"United States","20161031 13:45:00","Chicago Purchasing Managers' Index","","","","2"
"United States","20161031 14:30:00","Dallas Fed Manufacturing Business Index","","","","2"
"United States","20161031 15:30:00","3-Month Bill Auction","","","","1"
"United States","20161031 15:30:00","6-Month Bill Auction","","","","1"
"United States","20161031 19:00:00","Loan Officer Survey","","","","1"
"Australia","20161031 22:30:00","AiG Performance of Mfg Index","","","","2"
