"country","date","name","actual","consensus","previous","volatility"
"Japan","20150724 01:35:00","Nomura/ JMMA Manufacturing Purchasing Manager Index","","","","1"
"China","20150724 01:45:00","HSBC Manufacturing PMI","","","","2"
"France","20150724 07:00:00","Markit Manufacturing PMI","","","","1"
"France","20150724 07:00:00","Markit Services PMI","","","","1"
"France","20150724 07:00:00","Markit PMI Composite","","","","1"
"Germany","20150724 07:30:00","Markit Services PMI","","","","1"
"Germany","20150724 07:30:00","Markit PMI Composite","","","","2"
"Germany","20150724 07:30:00","Markit Manufacturing PMI","","","","2"
"Italy","20150724 08:00:00","Wage Inflation (YoY)","","","","1"
"Italy","20150724 08:00:00","Wage Inflation (MoM)","","","","1"
"European Monetary Union","20150724 08:00:00","Markit Services PMI","","","","2"
"European Monetary Union","20150724 08:00:00","Markit Manufacturing PMI","","","","2"
"European Monetary Union","20150724 08:00:00","Markit PMI Composite","","","","2"
"United Kingdom","20150724 08:30:00","BBA Mortgage Approvals","","","","1"
" USD"","20150724 11:00:00",""FX Reserves","","","","India"
"India","20150724 11:30:00","Bank Loan Growth","","","","1"
"United States","20150724 13:45:00","Markit Manufacturing PMI","","","","2"
"United States","20150724 14:00:00","New Home Sales (MoM)","","","","2"
"United States","20150724 14:00:00","New Home Sales Change (MoM)","","","","2"
